Manufacture,Reference,Model,Case serial number,Description,City,State,Country,Stolen date,Police reference,Interpol Reference,Origin
Aquanautic,BCW0006M00,Bara Cuda,8005398,Unknown,Unknown,Unknown,Unknown,11/19/2022,Unknown,Unknown,AH
Aquanautic,Unknown,Unknown,2002908,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,AH
Ardath,1278AK,De luxe,63094376,383KK1101C,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,AH
Ardath,Unknown,Unknown,4693F674,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,AH
Aristo Award,4H30,Sport,4562934,217/500,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,AH
Armani,Unknown,Emporio,4130543,Watch ladies,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,AH
Armani,Unknown,Emporium,3561718,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,AH
Armani,Unknown,Exchange,4321604,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,AH
Armani,Unknown,Exchange,8934316,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,AH
Armani,Unknown,Orolog1,5279716,Silver ladies watch,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,AH
Armani,Unknown,Pkarm,3524374,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,AH
Armani,AX1104,Trend,5642696,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,AH
Armani,AR1042,Unknown,5351085,Chronograph,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,AH
Armani,AR1405,Unknown,116108,Men's model ceramic,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,AH
Armani,AR1408,Unknown,141103,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,AH
Armani,AR2134,Unknown,231500,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,AH
Armani,AR5889,Unknown,251110,Men’s watch,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,AH
Armani,ART3018,Unknown,1001116,Connected women’s hybrid smartwatch,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,AH
Armani,AX1000,Unknown,63405343,Stainless steel watch,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,AH
Armani,Unknown,Unknown,311901,Watch silver and grey,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,AH
Armani,Unknown,Unknown,312829,Stainless steel silver watch,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,AH
Armani,Unknown,Unknown,1279123,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,AH
Armani,Unknown,Unknown,1431211,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,AH
